Time,x86_pkg_temp
1717730400.467124903,50000
1717730400.467257296,50000
1717730400.467290371,50000
1717730400.467311204,50000
1717730400.467342428,50000
1717730400.467364683,50000
1717730400.467381411,50000
1717730400.467401937,50000
1717730400.467425276,50000
1717730400.467448761,50000
